lo,1747,"LO:84,Lo:32,lO:5,"
nian,1735,"NIAN:107,Nian:4,nIan:1,NIan:1,"
xun,1727,"XUN:99,Xun:13,xuN:1,xUN:1,"
can,1708,"CAN:87,Can:15,CAn:1,"
kao,1693,"KAO:80,Kao:7,kAO:1,"
teng,1664,"TENG:86,Teng:11,tENG:1,"
pu,1661,"PU:96,Pu:22,pU:2,"
yo,1660,"YO:120,Yo:8,yO:2,"
ao,1612,"AO:89,Ao:17,aO:3,"
shun,1595,"SHUN:71,Shun:7,shuN:1,"
hen,1564,"HEN:88,Hen:11,heN:2,"
ca,1545,"CA:97,Ca:21,cA:3,"
bian,1514,"BIAN:74,Bian:5,"
duo,1497,"DUO:80,Duo:22,DUo:1,"
sui,1472,"SUI:69,Sui:6,"
shuo,1442,"SHUO:69,Shuo:5,shuO:1,sHuo:1,ShuO:1,ShUO:1,"
huai,1397,"HUAI:80,Huai:10,HUai:1,"
nie,1396,"NIE:70,Nie:15,NIe:1,"
mai,1387,"MAI:60,Mai:7,"
pang,1380,"PANG:66,Pang:20,"
qun,1361,"QUN:80,Qun:5,"
zu,1348,"ZU:81,Zu:6,zU:2,"
che,1299,"CHE:71,Che:8,"
gou,1266,"GOU:62,Gou:6,goU:1,"
zui,1244,"ZUI:48,Zui:7,"
kan,1239,"KAN:52,Kan:8,"
zhuang,1235,"ZHUANG:75,Zhuang:8,zhuanG:1,"
kui,1200,"KUI:87,Kui:8,"
zhuo,1195,"ZHUO:70,Zhuo:12,zhuO:1,zhUO:1,"
lun,1186,"LUN:75,Lun:11,luN:1,"
za,1174,"ZA:98,Za:5,zA:4,"
kuai,1171,"KUAI:88,Kuai:11,"
sai,1139,"SAI:59,Sai:9,sAi:8,SaI:1,"
ban,1127,"BAN:62,Ban:4,"
geng,1100,"GENG:80,Geng:15,"
zong,1079,"ZONG:45,Zong:8,"
nv,1043,"NV:64,nV:6,Nv:2,"
chan,1022,"CHAN:43,Chan:23,"
lou,1017,"LOU:53,Lou:6,"
gua,1012,"GUA:38,Gua:6,"
nu,1010,"NU:54,Nu:11,nU:1,"
guai,1008,"GUAI:44,Guai:3,"
pa,1001,"Pa:58,PA:48,pA:7,"
dang,999,"DANG:41,Dang:4,"
wai,979,"WAI:44,Wai:9,wAI:1,"
diao,975,"DIAO:47,DIao:1,"
gen,961,"GEN:40,Gen:5,"
bang,945,"BANG:38,Bang:9,"
kuang,941,"KUANG:43,Kuang:13,"
qiong,935,"QIONG:60,Qiong:7,qiOng:2,qIong:1,"
zhai,898,"ZHAI:50,Zhai:13,ZHai:2,"
niao,892,"NIAO:21,Niao:3,"
ken,877,"KEN:34,Ken:22,"
piao,862,"PIAO:37,Piao:3,PIao:1,"
leng,844,"LENG:34,Leng:11,lenG:1,"
jue,816,"JUE:33,Jue:3,JuE:1,"
ruan,812,"RUAN:42,Ruan:11,"
pen,809,"PEN:36,Pen:10,pEn:1,pEN:1,"
cha,795,"CHA:38,Cha:10,"
pin,791,"PIN:49,Pin:9,pIn:1,"
cun,774,"CUN:29,Cun:6,"
suo,769,"SUO:38,Suo:9,"
die,765,"DIE:51,Die:2,diE:1,DiE:1,"
chou,761,"CHOU:41,Chou:7,cHOU:1,"
